Source,Target,Author
0,5302,Gottfried Vossen
4891,4818,Isabel F. Cruz
5537,3858,Athman Bouguettaya
3752,6,Boualem Benatallah
3674,13,Amarnath Gupta
1824,5222,Bertram Lud&#228;scher
1824,13,Richard Marciano
259,2087,Yannis Papakonstantinou
4202,21,Alexander Brodsky
240,26,Tobias Mayr
26,3532,Ivan Oprencak
4641,4858,Praveen Seshadri
2785,2914,Nick Roussopoulos
2785,3459,Yannis Kotidis
2067,39,Yannis Sismanis
43,4475,Curtis Dyreson
3902,3841,Wolfgang Klas
4210,4434,Arie Segev
2209,898,Asuman Dogac
4330,4362,Ilker Durusoy
1670,70,Sena Arpinar
5715,70,Nesime Tatbul
898,70,Pinar Koksal
70,1207,Ibrahim Cingil
4330,4362,Mehmet Altinel
3462,78,Demet Aksoy
1036,78,Thomas Baby
662,4716,Michael Franklin
78,4658,Stan Zdonik
1377,1027,Ling Liu
1377,1027,Wei Han
1377,1027,David Buttler
1377,1027,Calton Pu
1377,1027,Wei Tang
91,2316,Reinhard Braumandl
5760,3010,Alfons Kemper
5760,3010,Donald Kossmann
1323,4971,Ouri Wolfson
4560,4246,Prasad Sistla
2808,356,Lyman Do
356,101,Prabhu Ram
2808,356,Pamela Drew
5761,4610,Philip A. Bernstein
105,2378,Shankar Pal
105,2378,David Shutt
1959,2603,Matthias Jarke
2032,114,Christoph Quix
121,892,E. A. Rundensteiner
3008,131,Wen-Syan Li
1224,131,Edward Chang
131,4645,Divyakant Agrawal
3008,4793,Kyoji Hirata
946,131,Yi-Leh Wu
3008,4793,Yoshinori Hara
1505,804,Swarup Acharya
1505,2114,Phillip B. Gibbons
1505,4001,Viswanath Poosala
2305,1506,Sridhar Ramaswamy
612,151,Tong Zhou
153,2123,Raymond Ng
5121,1177,Laks V. S. Lakshmanan
930,4611,Jiawei Han
819,2228,Roger Barga
3938,165,David B. Lomet
168,1304,Brad Adelberg
2520,171,Sandeepan Banerjee
2563,171,Anil Nori
3866,1347,Paul Brown
3585,3083,Dan Suciu
834,179,M. Carey
179,4019,N. Mattos
3367,5705,Soumen Chakrabarti
2121,2412,Alexander Hinneburg
3266,2502,Daniel A. Keim
929,3650,C. Mohan
5063,199,Anand Rajaraman
201,5466,Brad Hammond
209,2786,S. Gogate
209,2786,C. Gupta
4645,215,K. V. Ravi Kanth
2196,215,Siva Ravada
1452,220,Alin Deutsch
4841,4850,Mary Fernandez
224,1056,Charu C. Aggarwal
224,766,Joel L. Wolf
224,1056,Philip S. Yu
3640,228,Apostol Natsev
2435,776,Rajeev Rastogi
1506,2435,Kyuseok Shim
232,265,Wilburt Juan Labio
261,232,Ramana Yerneni
2945,4994,Hector Garcia-Molina
289,237,Kevin Beyer
2945,5761,Raghu Ramakrishnan
4899,3172,M. Tamer &#214;zsu
2689,2435,Minos N. Garofalakis
5232,246,Juliana Freire
2022,246,Michael Kifer
259,2087,Vasilis Vassalos
5731,261,Chen Li
4960,4012,Jeffrey Ullman
3936,5766,Janet L. Wiener
2716,1284,S. Seshadri
2716,2786,S. Sudarshan
388,3081,Christos Faloutsos
808,1043,Markus M. Breunig
3266,1347,Hans-Peter Kriegel
2404,4663,Raymond T. Ng
5698,808,J&#246;rg Sander
4992,3650,Markos Zaharioudakis
281,3682,Roberta Cochrane
2181,669,Hamid Pirahesh
1450,1617,Junghoo Cho
289,3203,Kenneth Salem
1344,289,Bruce Lindsay
5088,292,Vassilis Christophides
5088,2497,Sophie Cluet
296,1658,Hartmut Liefke
1090,2085,Minos Garofalakis
298,2451,Aristides Gionis
1414,4521,Bernhard Seeger
1517,301,Jr.
306,1386,Manuel Rodr&#237;guez-Mart&#237;nez
328,4682,Yannis Manolopoulos
1673,3628,Yannis Theodoridis
1088,4706,Flip Korn
2562,3459,S. Muthukrishnan
3251,5019,Debabrata Dey
3251,325,Veda C. Storey
3251,319,Terence M. Barron
323,3524,Tak W. Yan
1660,325,Yair Wand
