Id,dataset,title,venue,year
0,ACM,The WASA2 object-oriented workflow management system,International Conference on Management of Data,1999
3,ACM,A user-centered interface for querying distributed multimedia databases,International Conference on Management of Data,1999
6,ACM,World Wide Database-integrating the Web  CORBA and databases,International Conference on Management of Data,1999
13,ACM,XML-based information mediation with MIX,International Conference on Management of Data,1999
21,ACM,The CCUBE constraint object-oriented database system,International Conference on Management of Data,1999
26,ACM,The Cornell Jaguar project: adding mobility to PREDATOR,International Conference on Management of Data,1999
39,ACM,The active MultiSync controller of the cubetree storage organization,International Conference on Management of Data,1999
43,ACM,The Jungle database search engine,International Conference on Management of Data,1999
47,ACM,ADEPT: an agent-based approach to business process management,ACM SIGMOD Record,1998
51,ACM,A componentized architecture for dynamic electronic markets,ACM SIGMOD Record,1998
54,ACM,Design and implementation of RMP: a virtual electronic market place,ACM SIGMOD Record,1998
58,ACM,Discovering Internet marketing intelligence through online analytical web usage mining,ACM SIGMOD Record,1998
61,ACM,Component-based e-commerce: assessment of current practices and future directions,ACM SIGMOD Record,1998
65,ACM,Building database-driven electronic catalogs,ACM SIGMOD Record,1998
67,ACM,XML and electronic commerce: enabling the network economy,ACM SIGMOD Record,1998
70,ACM,A workflow-based electronic marketplace on the Web,ACM SIGMOD Record,1998
78,ACM,DBIS-toolkit: adaptable middleware for large scale data delivery,International Conference on Management of Data,1999
85,ACM,An XJML-based wrapper generator for Web information extraction,International Conference on Management of Data,1999
91,ACM,Database patchwork on the Internet,International Conference on Management of Data,1999
95,ACM,DOMINO: databases fOr MovINg Objects tracking,International Conference on Management of Data,1999
101,ACM,The need for distributed asynchronous transactions,International Conference on Management of Data,1999
105,ACM,Versions and workspaces in Microsoft repository,International Conference on Management of Data,1999
110,ACM,Data integration and warehousing in Telecom Italia,International Conference on Management of Data,1999
114,ACM,Improving OLTP data quality using data warehouse mechanisms,International Conference on Management of Data,1999
121,ACM,SERF: ODMG-based generic re-structuring facility,International Conference on Management of Data,1999
131,ACM,PowerBookmarks: a system for personalizable Web information organization  sharing  and management,International Conference on Management of Data,1999
146,ACM,The Aqua approximate query answering system,International Conference on Management of Data,1999
151,ACM,TAM: a system for dynamic transactional activity management,International Conference on Management of Data,1999
153,ACM,Exploratory mining via constrained frequent set queries,International Conference on Management of Data,1999
158,ACM,Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,International Conference on Management of Data,1999
165,ACM,Phoenix: making applications robust,International Conference on Management of Data,1999
168,ACM,Nodose version 2.0,International Conference on Management of Data,1999
171,ACM,Bringing object-relational technology to the mainstream,International Conference on Management of Data,1999
175,ACM,Implementing the spirit of SQL-99,International Conference on Management of Data,1999
177,ACM,Managing Web data,International Conference on Management of Data,1999
179,ACM,O-O  what's happening to DB2?,International Conference on Management of Data,1999
188,ACM,Hypertext databases and data mining,International Conference on Management of Data,1999
190,ACM,Clustering methods for large databases: from the past to the future,International Conference on Management of Data,1999
193,ACM,Petabyte databases,International Conference on Management of Data,1999
195,ACM,A database perspective on Lotus Domino/Notes,International Conference on Management of Data,1999
197,ACM,Microsoft site server (commerce ed.): Talk-slides available at the conference,International Conference on Management of Data,1999
199,ACM,E-commerce database issues and experience: (talk-slides available at at the conference),International Conference on Management of Data,1999
